
> temporal-research@0.1.0 phase1 /Users/trh/Desktop/time-experiment
> node --env-file=.env --import tsx src/harness/phase1.ts

phase1 openai/mini iso rep1 specific: 0 items, 0 errors
phase1 openai/mini iso rep1 relative: 0 items, 0 errors
phase1 openai/mini iso rep1 named: 0 items, 0 errors
This storage provider does not support batch creating metrics
phase1 openai/mini iso rep1 custom: 10 items, 0 errors
phase1 openai/mini iso rep1 ranges: 0 items, 0 errors
phase1 openai/mini iso rep1 multipart: 0 items, 0 errors
phase1 openai/mini iso rep1 notime: 0 items, 0 errors
phase1 openai/mini iso rep1 ambiguous: 0 items, 0 errors
phase1 openai/mini iso rep2 specific: 0 items, 0 errors
phase1 openai/mini iso rep2 relative: 0 items, 0 errors
phase1 openai/mini iso rep2 named: 0 items, 0 errors
This storage provider does not support batch creating scores
phase1 openai/mini iso rep2 custom: 10 items, 0 errors
phase1 openai/mini iso rep2 ranges: 0 items, 0 errors
phase1 openai/mini iso rep2 multipart: 0 items, 0 errors
phase1 openai/mini iso rep2 notime: 0 items, 0 errors
phase1 openai/mini iso rep2 ambiguous: 0 items, 0 errors
phase1 openai/mini iso rep3 specific: 0 items, 0 errors
phase1 openai/mini iso rep3 relative: 0 items, 0 errors
phase1 openai/mini iso rep3 named: 0 items, 0 errors
phase1 openai/mini iso rep3 custom: 10 items, 0 errors
phase1 openai/mini iso rep3 ranges: 0 items, 0 errors
phase1 openai/mini iso rep3 multipart: 0 items, 0 errors
phase1 openai/mini iso rep3 notime: 0 items, 0 errors
phase1 openai/mini iso rep3 ambiguous: 0 items, 0 errors
phase1 openai/mini iso rep4 specific: 0 items, 0 errors
phase1 openai/mini iso rep4 relative: 0 items, 0 errors
phase1 openai/mini iso rep4 named: 0 items, 0 errors
phase1 openai/mini iso rep4 custom: 10 items, 0 errors
phase1 openai/mini iso rep4 ranges: 0 items, 0 errors
phase1 openai/mini iso rep4 multipart: 0 items, 0 errors
phase1 openai/mini iso rep4 notime: 0 items, 0 errors
phase1 openai/mini iso rep4 ambiguous: 0 items, 0 errors
phase1 openai/mini iso rep5 specific: 0 items, 0 errors
phase1 openai/mini iso rep5 relative: 0 items, 0 errors
phase1 openai/mini iso rep5 named: 0 items, 0 errors
phase1 openai/mini iso rep5 custom: 10 items, 0 errors
phase1 openai/mini iso rep5 ranges: 0 items, 0 errors
phase1 openai/mini iso rep5 multipart: 0 items, 0 errors
phase1 openai/mini iso rep5 notime: 0 items, 0 errors
phase1 openai/mini iso rep5 ambiguous: 0 items, 0 errors
phase1 openai/mini ir rep1 specific: 0 items, 0 errors
phase1 openai/mini ir rep1 relative: 0 items, 0 errors
phase1 openai/mini ir rep1 named: 0 items, 0 errors
phase1 openai/mini ir rep1 custom: 10 items, 0 errors
phase1 openai/mini ir rep1 ranges: 0 items, 0 errors
phase1 openai/mini ir rep1 multipart: 0 items, 0 errors
phase1 openai/mini ir rep1 notime: 0 items, 0 errors
phase1 openai/mini ir rep1 ambiguous: 0 items, 0 errors
phase1 openai/mini ir rep2 specific: 0 items, 0 errors
phase1 openai/mini ir rep2 relative: 0 items, 0 errors
phase1 openai/mini ir rep2 named: 0 items, 0 errors
phase1 openai/mini ir rep2 custom: 10 items, 0 errors
phase1 openai/mini ir rep2 ranges: 0 items, 0 errors
phase1 openai/mini ir rep2 multipart: 0 items, 0 errors
phase1 openai/mini ir rep2 notime: 0 items, 0 errors
