
> temporal-research@0.1.0 phase2 /Users/trh/Desktop/time-experiment
> node --env-file=.env --import tsx src/harness/phase2.ts

task4 openai/mini iso rep1 specific: 0 items, 0 errors
task4 openai/mini iso rep1 relative: 0 items, 0 errors
task4 openai/mini iso rep1 named: 0 items, 0 errors
task4 openai/mini iso rep1 custom: 0 items, 0 errors
This storage provider does not support batch creating metrics
This storage provider does not support batch creating scores
task4 openai/mini iso rep1 ranges: 19 items, 0 errors
task4 openai/mini iso rep1 multipart: 0 items, 0 errors
task4 openai/mini iso rep1 notime: 0 items, 0 errors
task4 openai/mini iso rep1 ambiguous: 0 items, 0 errors
task4 openai/mini iso rep2 specific: 0 items, 0 errors
task4 openai/mini iso rep2 relative: 0 items, 0 errors
task4 openai/mini iso rep2 named: 0 items, 0 errors
task4 openai/mini iso rep2 custom: 0 items, 0 errors
task4 openai/mini iso rep2 ranges: 19 items, 0 errors
task4 openai/mini iso rep2 multipart: 0 items, 0 errors
task4 openai/mini iso rep2 notime: 0 items, 0 errors
task4 openai/mini iso rep2 ambiguous: 0 items, 0 errors
task4 openai/mini iso rep3 specific: 0 items, 0 errors
task4 openai/mini iso rep3 relative: 0 items, 0 errors
task4 openai/mini iso rep3 named: 0 items, 0 errors
task4 openai/mini iso rep3 custom: 0 items, 0 errors
task4 openai/mini iso rep3 ranges: 19 items, 0 errors
task4 openai/mini iso rep3 multipart: 0 items, 0 errors
task4 openai/mini iso rep3 notime: 0 items, 0 errors
task4 openai/mini iso rep3 ambiguous: 0 items, 0 errors
task4 openai/mini iso-preset rep1 specific: 0 items, 0 errors
task4 openai/mini iso-preset rep1 relative: 0 items, 0 errors
task4 openai/mini iso-preset rep1 named: 0 items, 0 errors
task4 openai/mini iso-preset rep1 custom: 0 items, 0 errors
task4 openai/mini iso-preset rep1 ranges: 19 items, 0 errors
task4 openai/mini iso-preset rep1 multipart: 0 items, 0 errors
task4 openai/mini iso-preset rep1 notime: 0 items, 0 errors
task4 openai/mini iso-preset rep1 ambiguous: 0 items, 0 errors
task4 openai/mini iso-preset rep2 specific: 0 items, 0 errors
task4 openai/mini iso-preset rep2 relative: 0 items, 0 errors
task4 openai/mini iso-preset rep2 named: 0 items, 0 errors
task4 openai/mini iso-preset rep2 custom: 0 items, 0 errors
task4 openai/mini iso-preset rep2 ranges: 19 items, 0 errors
task4 openai/mini iso-preset rep2 multipart: 0 items, 0 errors
task4 openai/mini iso-preset rep2 notime: 0 items, 0 errors
task4 openai/mini iso-preset rep2 ambiguous: 0 items, 0 errors
task4 openai/mini iso-preset rep3 specific: 0 items, 0 errors
task4 openai/mini iso-preset rep3 relative: 0 items, 0 errors
task4 openai/mini iso-preset rep3 named: 0 items, 0 errors
task4 openai/mini iso-preset rep3 custom: 0 items, 0 errors
task4 openai/mini iso-preset rep3 ranges: 19 items, 0 errors
task4 openai/mini iso-preset rep3 multipart: 0 items, 0 errors
task4 openai/mini iso-preset rep3 notime: 0 items, 0 errors
task4 openai/mini iso-preset rep3 ambiguous: 0 items, 0 errors
task4 openai/mini ir rep1 specific: 0 items, 0 errors
task4 openai/mini ir rep1 relative: 0 items, 0 errors
task4 openai/mini ir rep1 named: 0 items, 0 errors
task4 openai/mini ir rep1 custom: 0 items, 0 errors
task4 openai/mini ir rep1 ranges: 0 items, 0 errors
task4 openai/mini ir rep1 multipart: 0 items, 0 errors
task4 openai/mini ir rep1 notime: 0 items, 0 errors
task4 openai/mini ir rep1 ambiguous: 0 items, 0 errors
task4 openai/mini ir rep2 specific: 0 items, 0 errors
task4 openai/mini ir rep2 relative: 0 items, 0 errors
task4 openai/mini ir rep2 named: 0 items, 0 errors
task4 openai/mini ir rep2 custom: 0 items, 0 errors
task4 openai/mini ir rep2 ranges: 0 items, 0 errors
task4 openai/mini ir rep2 multipart: 0 items, 0 errors
task4 openai/mini ir rep2 notime: 0 items, 0 errors
task4 openai/mini ir rep2 ambiguous: 0 items, 0 errors
task4 openai/mini ir rep3 specific: 0 items, 0 errors
task4 openai/mini ir rep3 relative: 0 items, 0 errors
task4 openai/mini ir rep3 named: 0 items, 0 errors
task4 openai/mini ir rep3 custom: 0 items, 0 errors
task4 openai/mini ir rep3 ranges: 0 items, 0 errors
task4 openai/mini ir rep3 multipart: 0 items, 0 errors
task4 openai/mini ir rep3 notime: 0 items, 0 errors
task4 openai/mini ir rep3 ambiguous: 0 items, 0 errors
task4 anthropic/mini iso rep1 specific: 0 items, 0 errors
task4 anthropic/mini iso rep1 relative: 0 items, 0 errors
task4 anthropic/mini iso rep1 named: 0 items, 0 errors
task4 anthropic/mini iso rep1 custom: 0 items, 0 errors
task4 anthropic/mini iso rep1 ranges: 19 items, 0 errors
task4 anthropic/mini iso rep1 multipart: 0 items, 0 errors
task4 anthropic/mini iso rep1 notime: 0 items, 0 errors
task4 anthropic/mini iso rep1 ambiguous: 0 items, 0 errors
task4 anthropic/mini iso rep2 specific: 0 items, 0 errors
task4 anthropic/mini iso rep2 relative: 0 items, 0 errors
task4 anthropic/mini iso rep2 named: 0 items, 0 errors
task4 anthropic/mini iso rep2 custom: 0 items, 0 errors
task4 anthropic/mini iso rep2 ranges: 19 items, 0 errors
task4 anthropic/mini iso rep2 multipart: 0 items, 0 errors
task4 anthropic/mini iso rep2 notime: 0 items, 0 errors
task4 anthropic/mini iso rep2 ambiguous: 0 items, 0 errors
task4 anthropic/mini iso rep3 specific: 0 items, 0 errors
task4 anthropic/mini iso rep3 relative: 0 items, 0 errors
task4 anthropic/mini iso rep3 named: 0 items, 0 errors
task4 anthropic/mini iso rep3 custom: 0 items, 0 errors
